YTID	label
1IcyfTCqmnE_40000	Bird
URx9-sSUVFs_90000	Inside, small room
P_DYFB9FekY_30000	Vehicle
AWlarjByW6M_20000	Whistling
OZGOMnuMTsw_40000	Snoring
-3--FEjeipY_30000	Music
3EtbIWF_ynU_30000	Mantra
-2iW00PbXpA_30000	Child speech, kid speaking
4J-rFIucO80_0	Snoring
2x9XY8TTg9I_30000	Tools
Xo1hf83ZoWc_30000	Sound effect
WvVS_Cx64Gg_110000	Child speech, kid speaking
AbXpwy6Xd_4_50000	Laughter
--ouwdPmto8_30000	Child speech, kid speaking
0Fngxgd-WiE_200000	Laughter
ISP2hPBBHyI_370000	Speech
VJbVVpykK9Q_16000	Siren
3RfrTU1p5SA_500000	Singing
8vTrPFJTduU_40000	Snoring
2R2-qVlIiJ8_20000	Snoring
VSLdPnN8pPA_50000	Tools
39QgfGTrPZo_100000	Gunshot, gunfire
1FbmHE9R6YE_30000	Female singing
N2yV8eiloAk_0	Fireworks
0LaXca3H5RY_30000	Tools
98DFgHAe-Qw_10000	Vehicle
Cb5_JAv1U-g_210000	Crowd
Ov_C3MFhWks_30000	Car passing by
N1Cdp1ihSqQ_150000	Gunshot, gunfire
28bSl4r1kwQ_210000	Gunshot, gunfire
5BcLB0PMKqg_26000	Silence
24DpUuIgkYs_25000	Water
Mx2E1TatOkU_50000	Inside, small room
RuRta8gBeds_10000	Gunshot, gunfire
2Szgz8KxwaY_10000	Snoring
P8vaIdIPmEI_190000	Music
Ve49eR4bXOY_30000	Water
1GAW7E8ngOw_30000	Vehicle
3m3U_Li3VfQ_80000	Crowd
ZFgVr05aqKs_30000	Speech
h71dB9Qo7U0_20000	Tools
9rIuDiPuS2A_60000	Inside, small room
Gq95UZJO95c_30000	Car passing by
cvO3eb0bNPQ_30000	Whistling
TO7d2wx7Cq8_30000	Tools
BxnLAGsByCI_10000	Printer
4ewrOJXYsJs_110000	Laughter
4P3J20GJHIg_13000	Fireworks
DEs_Sp9S1Nw_30000	Snoring
BScBuR5-zF0_260000	Speech
W2YSbPUHvNo_0	Female singing
9eXtNx-klSQ_250000	Outside, rural or natural
-3jqWmNr5pU_30000	Music
-xYTdX0m8mY_80000	Engine
IjxL_th3lhU_0	Silence
TElTvQ4YDH4_10000	Outside, rural or natural
Vo97NzwvjKQ_130000	Music
3YLjzX140sA_370000	Tools
00pGWHoshFw_30000	Engine
5G0HG86j8nM_40000	Laughter
1KlRidDY_GU_420000	Tools
08kLVcTiUvc_30000	Vehicle
CVieuXqHMq0_30000	Siren
LZlS5YVHJhk_30000	Mantra
Cyse2N4OcII_220000	Whistling
LgoLOxAcDMs_500000	Speech
7DbA-GDbFHs_230000	Bird
Aclv9drugo0_50000	Tools
1n0GjDPz99w_20000	Whistling
26XpwUKu7m8_0	Gunshot, gunfire
3Iw9CTkJN9k_30000	Silence
Aihz1N2BlwU_3000	Tools
fVc0mfnJNY0_30000	Speech
-C0_MvydkRk_80000	Animal
BlDAvLaO4UU_30000	Printer
hGtkafUpJAk_190000	Siren
-BXHuQigj70_20000	Whack, thwack
GCuz5olmKl8_30000	Speech
8TbOE5NoHM8_30000	Vehicle
NycLdd6WRG4_0	Inside, small room
7T4esGofZXg_380000	Vacuum cleaner
5KyBZMgA4oc_70000	Child speech, kid speaking
FuJozE_NTjk_0	Silence
-24NWwCNdg0_30000	Water
4hrfZO0L7h4_50000	Siren
5XT6kfk_qNE_30000	Animal
B9KgC4gL-uo_80000	Animal
5TxUKSXW85I_30000	Female singing
CvRWioIT0N0_30000	Vehicle
Lu67UE6xczY_20000	Crowd
W9SbZRsnjeI_440000	Speech
-gvrL0-EIxE_30000	Heavy engine (low frequency)
Si5cS22TKaU_20000	Vehicle
-Lf_Ofsz-tk_30000	Heavy engine (low frequency)
43-spXqx_ms_140000	Animal
-JZyS3xZZ5Q_200000	Vehicle
-Ew87_9avAQ_30000	Car passing by
cEV1gluwcUM_290000	Speech
SrZtLKuf0nw_30000	Snoring
FZOLxNWyHIA_480000	Speech
4N6Hsif5u9I_25000	Engine
MNSRBa4kaf8_50000	Vacuum cleaner
ORx35HB3724_30000	Crowd
DLnuKlgFrpo_120000	Siren
Dp_UhmxG9bQ_60000	Fireworks
0_lMZ7Fvw7Q_30000	Car passing by
HuA6SAm4Qxw_340000	Crowd
EGuxm0OyNdk_170000	Crowd
9pQTxbLNWd4_30000	Engine
TQ9J8DdN2b0_30000	Car passing by
PUwNDssbDXw_0	Animal
I1kiBnVad2A_0	Child speech, kid speaking
DpnUF1BqBrs_0	Whistling
GH876829Ko4_20000	Crowd
i078hwn-En0_27000	Vehicle
ac97oJXxeLg_9000	Engine
P3jlh93n050_100000	Heavy engine (low frequency)
IevyxNO11DY_30000	Mantra
29rQ7JyB_kQ_10000	Female singing
FmxuEmBnCUQ_120000	Whistling
KzK-NcJpw0k_0	Singing
EgkjILeDlMc_30000	Vehicle
3JcMZriTqys_9000	Female singing
r_2vk_vPTns_560000	Fireworks
-5AvqqR_8Vg_40000	Silence
4AOaHKXHyM0_20000	Snoring
Grt0Kbr202w_160000	Bird
YfSkHQs067Y_30000	Whack, thwack
ReD_YKlRaQ8_27000	Engine
eP_006UEXfc_10000	Fireworks
pqGvubXBZJw_40000	Laughter
H-CGWrV3oQ0_200000	Music
gn91aAfdVX8_10000	Tools
2AMMib7in20_30000	Female singing
fIpbu3uF12o_140000	Vacuum cleaner
B7ps7fdsaeI_30000	Sound effect
1oiWxu6nOyQ_16000	Heavy engine (low frequency)
fcFpf2XXKbM_200000	Speech
Cwx1yZPGCzs_30000	Speech
PjwJ37BV68E_140000	Laughter
2E3ATDFViGQ_10000	Outside, rural or natural
6P7xkmia4SI_0	Fireworks
6p39OAoT7Pc_30000	Vehicle
dV0qYvXMGI8_120000	Laughter
31E9-DRHffg_13000	Vacuum cleaner
QdhiOHMnvT0_19000	Sound effect
F6oEu35qy_A_25000	Vehicle
fcgVUyxuYbM_150000	Whack, thwack
R8HchmsKBPg_230000	Crowd
747o6ImOtPM_21000	Silence
71rMtURSqDs_60000	Laughter
44sr0dbl-xQ_10000	Vehicle
Cx-rIoKvwRg_20000	Whistling
DQcvD_dfehc_50000	Inside, small room
50UcZphizsA_30000	Inside, small room
-_G7hJ6KT98_70000	Animal
BMh-vvYwMVc_70000	Snoring
1nE3qT4wSl4_60000	Fireworks
3rdGOUFc5d4_10000	Vacuum cleaner
KtJ2Q191FwA_140000	Animal
RV0SzmZ267I_60000	Speech
B6bnFlVkKrE_80000	Speech
4ECGIBCVAfA_30000	Crowd
SB3cg62I__k_6000	Vehicle
9UD7qz7DuVY_40000	Singing
-07nErVThqY_30000	Speech
dmaMs7gUxyU_230000	Siren
-0Nb4PVTeoM_19000	Animal
2uyD0NmOlA4_24000	Silence
FvCeOCfxwEI_320000	Animal
INeZHC5dc3k_440000	Vehicle
AExFXwhmryk_30000	Laughter
80ev046MQr8_40000	Music
HD8ucjTHLbM_160000	Female singing
yF_ATGH-4lA_450000	Crowd
kHhID6SE4IY_0	Fireworks
AMSJ_Vyd1L8_20000	Tools
-4_SHv_uvOs_30000	Crowd
8Sd16qVkBfg_30000	Animal
ckF4s_SZ9yQ_0	Vacuum cleaner
EGw4fBB2H0g_170000	Crowd
Lvle9El2X2U_200000	Animal
LjSZNytrmQ4_330000	Bird
HJTuBeuVuOY_360000	Inside, small room
5cPvQTT9ydg_30000	Whistling
Eak1EaT57E0_560000	Child speech, kid speaking
6UY-HKyolKk_30000	Whack, thwack
CdCiigzp5Cw_0	Speech
-wQpqRYpvGM_360000	Laughter
7ne0y8mVMcw_30000	Mantra
hXvLl7NLhh0_30000	Whack, thwack
-tWnHJtLWcY_16000	Gunshot, gunfire
I5eqHGBzrsA_30000	Speech
QZKH9-7cpq8_470000	Crowd
-kz3vmlPkaM_110000	Printer
ABsCEKemTpQ_30000	Speech
9meOTROqlZY_30000	Vehicle
OjQ4F1Y0NJs_30000	Siren
6o7Zb2UyU44_30000	Outside, rural or natural
FeiVqJxsaPM_140000	Animal
ER-RJrXWIck_450000	Crowd
C4bCoIfF0t4_50000	Tools
SYu4RWNM2uw_30000	Siren
CClT_gBSF1M_30000	Outside, urban or manmade
-0g1fSl4VMA_30000	Car passing by
LsSlJa3Nb7k_270000	Gunshot, gunfire
hmMq1usIZAA_60000	Siren
L6QtigLJD_4_30000	Vehicle
40TGCk4-bt4_250000	Silence
U0UQV-5lvRs_30000	Fireworks
ASKT1E0_8Qs_280000	Laughter
0aC-EPsLZWM_30000	Vehicle
b-R5Jm-vmwE_80000	Fireworks
FjB8y6TyFas_90000	Inside, small room
EpXW058HjjE_120000	Vacuum cleaner
5vJfCWMaAzk_40000	Silence
40w2L1eKZkI_440000	Silence
9j2yRNpgdU4_270000	Fireworks
2BNzAxuwR90_210000	Inside, small room
3iwCHoMi-eA_2000	Car passing by
2oWdZ9_T3Gs_30000	Animal
4RUdgDZnz9g_30000	Vehicle
JHep7n94Qbs_30000	Vehicle
1Uj_ulATth0_360000	Bird
0cap9ZhNM34_390000	Water
1NJbHsyzCgM_40000	Engine
HSPBrLMYWQA_30000	Snoring
SBHshEAdce8_0	Singing
O4EE33F0SL0_30000	Mantra
8PWxtAl4aRs_30000	Engine
TOHMGYQ0eUw_9000	Crowd
QRlM_dBJVZ0_30000	Snoring
R0XjcWSmenM_180000	Whistling
GOhB95euLDE_28000	Gunshot, gunfire
7iHSfzKKAn0_190000	Crowd
78D5ieegS98_90000	Tools
1RVfHFK9xXc_30000	Whack, thwack
5L7_obw-NT0_20000	Whistling
-jy3jIkRjwc_30000	Mantra
_usplsnFAhA_0	Whistling
L4rR37p6T5k_100000	Silence
ABCSgtiQCvM_60000	Snoring
8xLdduPWrGg_30000	Siren
_Wi4c6JI9J4_120000	Engine
K82X0EmnZKY_30000	Siren
CSpIHcyZJeM_160000	Animal
D1avyMKEOZk_30000	Printer
_Kqp53S6kuA_60000	Siren
5L7aBpEPMWs_0	Speech
VnPy9x4zZE0_410000	Mantra
4GVt2dnnOpE_0	Car passing by
FgawQZrkNjs_210000	Bird
86WwwaaC99Q_30000	Sound effect
WEnCqOnF8SQ_30000	Snoring
HZeqGogZZKA_100000	Inside, small room
T9usfvJC_iw_60000	Crowd
-39RnBGle_o_30000	Vehicle
9UClMIGCIF0_30000	Vehicle
LKpANGTc10M_30000	Siren
1Fy2HJlJkhU_12000	Silence
pRXnQKlktPs_30000	Vacuum cleaner
--wH-KgQxe4_30000	Singing
CES-NZUURg8_70000	Vehicle
BDhj3O5DEC0_10000	Engine
LjOOqHOlJeQ_30000	Snoring
VHoOg4twnO0_60000	Heavy engine (low frequency)
L8mFkheXfOk_70000	Heavy engine (low frequency)
6tgBAuZMaUA_6000	Female singing
1_hyTqVseHY_30000	Silence
DK_6C29B2zs_14000	Siren
iAXyrmDuBb0_20000	Vehicle
TAje6O0z9I8_30000	Car passing by
fi95Knnp87Y_30000	Vehicle
0qMizPXpbSw_30000	Laughter
0wxo66142xQ_10000	Animal
WGV2P5ECEks_30000	Engine
DV6cfqlLlfY_10000	Crowd
-UdzibtuaKk_10000	Engine
CMKamulntfE_30000	Animal
0fupqJsBpKc_30000	Gunshot, gunfire
a_ruWnMK1MA_350000	Animal
8eAFLSZrmSw_150000	Speech
4cSdCeVjWW0_10000	Silence
58IVbIC2xHw_30000	Vehicle
BxqInbuPikI_30000	Inside, small room
46HYJEr-JqE_10000	Vehicle
Kixwm88GoPI_80000	Child speech, kid speaking
-_4MdFepHb0_7000	Vehicle
0nRbAiE8DSw_40000	Crowd
In7zm9W8074_20000	Whistling
2ga5bSZDIbo_170000	Vehicle
COt7y5oODOI_140000	Inside, small room
NKJVmJnxVZw_210000	Inside, small room
WK9Qs-TlOWk_30000	Tools
LBGkuftTRJA_110000	Child speech, kid speaking
0RBjoTFoOrE_30000	Singing
Ts0A5evzqJY_30000	Siren
DRhSOfOpMn4_20000	Vehicle
gPSCHPuRSyM_210000	Animal
S2tExiyLmUo_460000	Animal
TUwiMuinx7M_0	Engine
15Mw2jyyHk0_30000	Music
ML2_7WWRbgE_10000	Vacuum cleaner
1RcNFHoEApI_230000	Silence
UiBvSGD0QUY_20000	Fireworks
Rj4gqvjW-ro_30000	Vehicle
EgrWlWs1KoM_30000	Crowd
Mf_M8utxhn0_30000	Car passing by
wOpPsqugPfI_150000	Tools
AV3lmhWId_s_30000	Heavy engine (low frequency)
VXjQfvnbv80_210000	Tools
-q_R6tOMhz8_230000	Child speech, kid speaking
32bcLJYsjjU_10000	Whistling
LhxYj_OXlUY_0	Animal
TNFQg1Jbxvw_30000	Laughter
72ygRBtUKxE_30000	Crowd
7bugGcaojsU_30000	Inside, large room or hall
-d71BS_9Ru0_30000	Heavy engine (low frequency)
Egg_iIuzZv4_70000	Music
19nQpm2aRdA_30000	Female singing
5-lRAdfET_I_0	Fireworks
1ZnbSB8iQkI_11000	Silence
4yvS6NRKn_o_450000	Gunshot, gunfire
LK7fmJsrydI_170000	Printer
FiI7mYduvGo_160000	Crowd
KX7SGH6ZjMA_320000	Bird
I1Ed5gIkcp8_10000	Sound effect
6lSthRzidX0_30000	Female singing
DdxW_JziHTA_30000	Music
Q3JXMPUpmRU_150000	Crowd
MWXgevv8TDA_20000	Printer
AYU96S3QQQo_30000	Engine
HSdDxuZaaVw_200000	Gunshot, gunfire
LvUo_4YvMQU_30000	Female singing
4IH4KCTb6vQ_10000	Snoring
f48NhDkKPPk_300000	Speech
ARRWOncTNdE_30000	Crowd
UScm7_GrxlI_10000	Siren
-hYRFCQdbLg_30000	Music
AZs79fQforw_0	Whistling
1pA-WHxC0SA_7000	Car passing by
3mzVTVY5Cgc_0	Gunshot, gunfire
0o5IwJsz9TA_10000	Fireworks
GxtHS5lyg48_30000	Engine
6FJnNeRsJXU_60000	Speech
6N2gq4JmZ-c_30000	Female singing
cB77_McMXx4_30000	Inside, small room
H9auwoKKvvc_370000	Water
3NdOVusLKvs_30000	Mantra
I4pOnI9vGIY_60000	Inside, large room or hall
0OYlHvyfNk4_130000	Music
42v4Xf3gcTc_310000	Silence
FxsuLo2zCSo_460000	Animal
14jcqHjMXcI_0	Bird
8PQGhU-ZoWw_27000	Vehicle
0m0rCpKxRDY_0	Snoring
5TQ6sHi3SD0_30000	Bird
487jIOnY-yE_18000	Silence
76KVYpyRNWc_30000	Bird
-Uk5y-Q1xIM_30000	Speech
-1ujDf84xuo_30000	Music
5jqA1nqXcUA_30000	Child speech, kid speaking
6pPqPtzziSg_30000	Animal
3gm1ymc8Zg8_110000	Printer
FGMLbxg0oAg_30000	Outside, rural or natural
BtxOD0uTlWc_160000	Speech
LntYc8gxolI_0	Silence
JLiX3qKQPtI_30000	Engine
1Lhorx664PY_21000	Gunshot, gunfire
A9hrILiG0YA_130000	Animal
CW8_PZxk7VM_30000	Mantra
8CZFkwCPEio_210000	Vacuum cleaner
LnP4FW1i8Z4_30000	Vehicle
DSBUD8MCOxE_20000	Singing
-SLsSZcN8rQ_30000	Whistling
-2T2k9Wofzo_30000	Speech
Z4Pad_yHNyc_0	Water
FLEC3gA30Pw_410000	Music
9-5s9mzSm3w_130000	Animal
0urxztgR2kI_80000	Whack, thwack
IgVzKNLqGJQ_80000	Tools
JdopEI1Q_SA_30000	Mantra
Wl79nsc2Pwo_180000	Water
0hFT1CE6IHE_30000	Heavy engine (low frequency)
1myQoDcbICM_0	Whistling
o7cWEZgDh8Q_10000	Laughter
hLUn6I4BUYA_120000	Whack, thwack
NUZ_gB6Zhxs_100000	Music
Z3ne8026Uu0_70000	Inside, small room
pOiZUku3CH4_10000	Laughter
7HA21WpT01Q_30000	Female singing
6qkemq5ueKA_30000	Vehicle
6dGxzxwed7I_30000	Female singing
BWVovghBe2c_30000	Music
DXXdKja-8zU_30000	Printer
12k5XdYlqS4_30000	Vehicle
js3gMXUxhSo_530000	Snoring
852VTO5jrMM_160000	Inside, small room
2lbt5BexJwY_30000	Vehicle
9djl1Paihl4_220000	Speech
-9wBfK2qA1Q_30000	Mantra
2FqGBGnSlKc_30000	Whack, thwack
PyyvzuSRn6g_60000	Laughter
3f-m06IKGqM_0	Engine
8z6UjJACNLE_10000	Vacuum cleaner
AWLr13oJAoc_40000	Printer
Yi9YlQsDZAI_90000	Child speech, kid speaking
-EFFoPhcxMw_30000	Vehicle
F2bDB8ovgPA_60000	Engine
0GBVaUPTTSw_0	Silence
pHZm52nvBB4_30000	Animal
CwZydzw6eOc_30000	Engine
-uydwFiYXZY_25000	Sound effect
--tk5bEZolw_30000	Speech
CsA1DyPLbLk_40000	Music
HuABReigFxQ_40000	Silence
NZN6CZrhRu0_10000	Gunshot, gunfire
1RAxvWeojGY_0	Inside, small room
O7S29_2nd8U_0	Gunshot, gunfire
MTkiCznvpS4_50000	Snoring
C02gHcprbLE_2000	Whack, thwack
K4o66JT49C0_110000	Music
01jwu2U-Ya8_180000	Vehicle
7b3TCh2Sxq4_90000	Snoring
53mt7qhu4GA_12000	Engine
g247CEZ9p70_10000	Whistling
-0wu6R6mfeo_30000	Speech
5uR4ondvGSA_10000	Gunshot, gunfire
FJcDJvK__uE_10000	Animal
OaVBOjLVFi0_70000	Snoring
WOq9smz16SM_30000	Vehicle
5I5GDN0hzWM_90000	Outside, rural or natural
2z5F4smiBIQ_340000	Child speech, kid speaking
-5CHgIX-yaQ_30000	Music
5DdKA3G49q0_30000	Female singing
-NtqWXIzVHM_30000	Music
W11cJ9HZNaY_30000	Car passing by
Tafz0y7nFlQ_40000	Snoring
4VIwosnFpZ8_12000	Singing
Goni_2jdS1A_2000	Silence
-tzKWySGu-Q_30000	Speech
44mUe8LGgsw_30000	Siren
g_DBLppDZAs_30000	Crowd
QPA0o5rDh3s_30000	Singing
SjV25G3bCU4_40000	Printer
05a6g_dCU_M_30000	Vehicle
-1vqa8LjGyQ_30000	Speech
-sTR47qIhUI_110000	Outside, rural or natural
Q3aysNe92wU_0	Printer
B7cnjqDXjkc_30000	Mantra
EqKWXPOLUdQ_0	Inside, small room
8o-KM79k5bU_300000	Fireworks
1stOBLsLPFI_30000	Tools
754NbBBCUpg_100000	Snoring
4P-sIdV4vMs_30000	Siren
S1zdm4sseD4_30000	Printer
G2WNtYEjQ4M_240000	Vehicle
ACTXMnQfjZY_17000	Animal
40PKn0gnPJA_170000	Music
kvEH9vJDtrs_30000	Engine
-jTHqanA-sY_30000	Bird
FEeKK_193JU_20000	Outside, rural or natural
3vnRVhpoFpY_200000	Inside, small room
Kd7Q8BtrdK4_50000	Sound effect
4nVJBWDT8e4_30000	Female singing
45_hB4QUjNk_30000	Speech
CD6jP_rGrJE_30000	Mantra
ItQZCqJ6mz4_510000	Inside, large room or hall
KsZCATziz54_30000	Female singing
4IlftknGLxM_30000	Engine
MyFdRJ1MbJ8_30000	Mantra
qpNx57h9Ngw_60000	Siren
TBNzInH34Vw_230000	Vacuum cleaner
8pJ_yyiFDTU_30000	Sound effect
AItk8hJzNog_60000	Outside, rural or natural
rZGffVj8EfM_30000	Engine
07L1G-xyrtc_0	Outside, rural or natural
-pC5iSaCLcw_30000	Gunshot, gunfire
B4Q6N08yhp8_80000	Speech
Kta-tMXIneo_30000	Mantra
-4LAPE_-LDU_30000	Singing
9RUMY7mz2MU_5000	Snoring
Zpir-mKXjnw_30000	Car passing by
4o1WXDIYm9g_310000	Vacuum cleaner
eXw_RIKwmUI_150000	Gunshot, gunfire
JrU0NYotWmE_130000	Female singing
IiwOTQ2Kg8Y_210000	Music
FZC8v0UnWdM_160000	Tools
BTepa5tICHM_200000	Vacuum cleaner
2_f-dWgglMo_90000	Whack, thwack
MsZo1Jml74A_30000	Siren
WdORkOOr1ME_10000	Whistling
StvO_qmBalY_40000	Fireworks
GdnUj_tYStA_30000	Singing
-CFrKW8o5tg_30000	Female singing
00NIlleKaKU_30000	Vehicle
AcX6rAwFTiY_260000	Music
BnCWy1VzvQQ_80000	Animal
MJTmkrvAxys_50000	Snoring
CjoRC3bhsPU_130000	Tools
RlHxAiTwODg_150000	Crowd
-fLGdSqgwMc_30000	Music
DqBovEVr-98_400000	Whistling
8umQZhvuh-k_30000	Silence
tIeVWsRYmE0_40000	Siren
UIJvZQxbQXk_30000	Fireworks
Y_Y3M6rWXYQ_30000	Fireworks
VEJt6vaKXF4_10000	Crowd
VwEp5pCFu-o_500000	Gunshot, gunfire
NKjOFL-xvjc_30000	Mantra
LiRgBYhkeOA_30000	Whistling
5FTnLbVHssY_0	Mantra
8b64eo5MBKA_40000	Animal
RKQ7Qx4gPyY_260000	Vacuum cleaner
0cfi0shdyAo_30000	Female singing
LAVr291jgR8_210000	Speech
SLsFOd-Xv1o_0	Fireworks
4M8Jox8RUY8_40000	Snoring
JfBTlyHH2XI_80000	Music
1V9CWQNZRF8_450000	Heavy engine (low frequency)
1nYaEoAJdZw_10000	Outside, rural or natural
8sMCf194HOc_30000	Animal
8oOLbD_cPYI_4000	Vehicle
n6PQlh-g7tU_70000	Whack, thwack
O2FnfsRr6zo_430000	Fireworks
BVmY3t2SjHE_30000	Vehicle
d-svfUMX3BM_10000	Child speech, kid speaking
5uPAqk783Ek_60000	Siren
-KsTp_GYBoU_90000	Animal
MaCIZ1UUnbE_40000	Animal
8iF4OnCc-pQ_210000	Bird
5e8dnZnkLkw_60000	Laughter
2GdvXTqSG18_30000	Female singing
1iCUCx9p1KI_30000	Vehicle
TLDIzN6MkfI_120000	Crowd
Rbme1ux3CE8_50000	Vacuum cleaner
-XcQy3Np0ww_30000	Car passing by
DKDsg_cYCTc_80000	Engine
WmKXjQ_lFWg_0	Inside, small room
4Ki-OZRJEwU_4000	Engine
8R8F5C8WBNw_60000	Gunshot, gunfire
0-KeN5sfo-M_21000	Fireworks
_nol57t5Mlg_60000	Child speech, kid speaking
IK9DLm06eLQ_60000	Whistling
5Xf1xYpBQjw_30000	Mantra
DE6bdmnmPtg_60000	Whack, thwack
5cq0Qwhis3c_0	Laughter
CkAGY3spYG8_0	Silence
5Xu5FJLNTHY_500000	Vacuum cleaner
Iq5v8gESkCM_0	Snoring
00kiylShRxU_60000	Snoring
dvlsy2j4XxE_120000	Laughter
l2F8WoFeTnI_30000	Printer
CxmxQQQEk_Q_1000	Silence
W0mijeON0Co_10000	Vacuum cleaner
cm6uEFfW5to_60000	Whistling
PeN0BUbCdVE_30000	Animal
Gg8qVEvD8Q0_540000	Whistling
K1YFLzfKmm8_480000	Gunshot, gunfire
3jPvzBbfueI_30000	Female singing
SBjojQHyGZw_110000	Car passing by
7rfS6G-1WYQ_30000	Silence
9APqBU14-Mo_20000	Water
Ch5_-jvmUwQ_14000	Speech
ElJFYwRtrH4_30000	Child speech, kid speaking
3g_Yi_ENvq8_30000	Silence
8AnlI47Vfzg_40000	Child speech, kid speaking
0H814XXq-WQ_30000	Crowd
2s67Dy2chRw_30000	Animal
-10moqBJoFg_30000	Music
GFsgjayBMt8_70000	Printer
7Vik44Ov0kA_210000	Animal
9MkZkVeaMCs_60000	Music
PBppme6lXN8_30000	Crowd
-PdWUY-z4do_30000	Crowd
4FsNTLhUaVY_60000	Siren
2lNUXeMLVuQ_10000	Engine
0ng4P5U9fYM_23000	Animal
uUcUU6NpDUw_30000	Water
8k8Ck-cIuK0_30000	Printer
-pwf1dqYzNo_30000	Engine
LGDeKfeW1Cs_190000	Crowd
QR2nVWdxa2E_70000	Speech
2LShvS4yuB0_21000	Siren
RNeApQUd5p8_30000	Printer
25PRr_4tzTU_30000	Speech
0DsEGinKxBM_280000	Female singing
Lg9lMcAKzP4_0	Singing
4cCGg38Xsgw_100000	Music
MpWa14WHW1U_30000	Printer
BRozXvsNyxQ_30000	Car passing by
-1KJd0b46Tw_30000	Vacuum cleaner
P9EyfBbH1SI_20000	Child speech, kid speaking
-QjPiUDOmzs_30000	Crowd
--7RQ59Nsc0_30000	Speech
24d8qg_2gLs_40000	Music
IPq-W_CgZ_U_30000	Mantra
3AnJo6ZZEp0_30000	Siren
91dnB9arRVo_23000	Sound effect
517eoEgyO88_430000	Animal
3jwbksLGgwA_30000	Silence
OO6ADImGSPY_30000	Child speech, kid speaking
QLWgvnzkYuc_20000	Water
-1DpOYFdTNA_21000	Car passing by
DlQkBlkfyss_140000	Female singing
5VZcokFMEDo_30000	Animal
Akl82MKua1M_130000	Speech
-AJx8ROR0SQ_30000	Laughter
GEaPkbvHIes_200000	Speech
6TYV5DARr-o_30000	Female singing
